name,region,created_at
ShadowReavers,JP,2024-07-19 1:44:33
NightWatch,RU,2024-09-18 22:37:02
CrimsonOrder,TR,2024-08-28 23:51:15
VortexHunters,BR,2024-11-14 20:48:07
IronClaw,RU,2025-02-20 22:18:38
SpecterSquad,BR,2024-09-26 14:23:03
BloodHawks,US,2024-09-28 2:25:57
PhantomCore,JP,2024-07-27 7:50:11
VoidClan,TR,2025-04-10 13:24:06
NovaRiders,JP,2025-01-09 9:27:32
DeadZone,BR,2025-06-07 14:01:07
SilentStorm,BR,2025-01-12 16:34:41
WraithUnit,TR,2024-07-12 11:06:27
GhostProtocol,UK,2024-12-23 4:23:50
EchoFangs,JP,
DarkVanguard,BR,2025-03-14 17:47:48
StormLegion,DE,2025-01-02 5:26:09
AshenFury,JP,2025-05-31 0:02:32
GraveSentinels,RU,2025-01-11 8:47:09
TwilightCoven,TR,2025-06-04 11:20:10
SteelWolves,US,2024-09-20 22:54:57
ObsidianCircle,RU,2025-01-01 4:43:53
DoomWardens,TR,2025-03-03 4:26:39
FireBrand,JP,2025-03-21 0:38:59
IceDrifters,US,2025-01-14 7:22:54
Voidborn,DE,2025-05-28 6:53:56
PulseCore,FR,2024-08-29 21:30:36
ZenithGuard,DE,2025-05-30 18:40:43
EmberScythe,UK,2024-10-24 21:11:30
NightRaiders,DE,2024-11-04 4:05:46
CrimsonFangs,US,2024-07-25 12:03:36
WarpKnights,15,2025-01-31 1:45:24
CyberRebels,DE,2025-02-21 10:18:13
IronVultures,RU,2024-12-06 23:01:06
NullSector,UK,2025-02-19 9:34:11
HexBlades,DE,2025-03-16 22:12:45
,US,2025-04-08 6:36:05
StormPhantom,US,2025-05-03 16:57:36
BlightClaw,DE,2024-08-14 23:37:31
WitchHunters,US,2024-11-23 14:40:04
BoneLegion,US,2025-01-21 23:00:39
AbyssOrder,UK,2024-12-16 21:33:27
FrostShade,RU,2024-08-12 0:45:44
EchoReign,BR,2024-11-26 19:31:16
NovaSpire,FR,2025-05-24 1:57:49
PhantomRise,JP,2025-06-22 21:34:46
Dustborn,FR,2024-10-31 5:30:46
AshCoven,US,2025-03-09 11:44:02
VenomCrest,UK,1719227554
Darklight,DE,2024-09-09 18:36:52
